well,coculture,compound,has_tcells,rate,fold_per_day,start,end,fold_total
F04,PDA+CAF+MAC,Src high,yes,0.31583826704609475,1.3714084357514098,0.012669,0.036798,2.9045702107506512
F05,PDA,kras low,no,0.20263442059471268,1.2246246888375756,0.003579,0.008263,2.3087454596255936
F06,PDA+CAF,kras low,no,0.22716951207940597,1.2550425947898705,0.015595,0.027146,1.740686117345303
F07,PDA+MAC,low kras+Src,no,0.1456870260542021,1.1568340724630877,0.011859,0.016765,1.4136942406611013
F08,PDA+CAF+MAC,low kras+Src,no,0.030684274237745907,1.0311598887448035,0.011195,0.013063,1.166860205448861
G01,PDA,Src high,yes,0.21139002843457005,1.2353940999350628,0.012496,0.031242,2.500160051216389
G02,PDA+CAF,kras high,yes,-0.28704076623332847,0.7504811339244384,0.014655,0.005006,0.3415899010576595
G03,PDA+MAC,low kras+Src,yes,0.11545221746482288,1.1223808830629383,0.012268,0.016666,1.3584936419954354
G04,PDA+CAF+MAC,low kras+Src,yes,0.18814752067019358,1.207011561371013,0.010697,0.019376,1.811348976348509
G05,PDA,control,no,0.19542264764400005,1.2158247433763192,0.00485,0.010853,2.2377319587628866
G06,PDA+CAF,low kras+Src,yes,0.13979332534347313,1.1500360909798797,0.014657,0.021738,1.4831138705055604
G07,PDA+MAC,kras low,no,0.2788222257883703,1.3215723814968006,0.01066,0.025994,2.4384615384615387
G08,PDA+CAF+MAC,low kras+Src,no,0.09120950165558303,1.0954984899662497,0.009105,0.013077,1.4362438220757825
H01,PDA,control,no,0.15288410500895064,1.1651899314405494,0.006172,0.011125,1.80249513933895
H02,PDA+CAF,Src low,no,0.40331860271864245,1.4967836950585858,0.007857,0.040898,5.205294641720759
H03,PDA+MAC,control,no,0.4844832139195662,1.6233358746525808,0.007712,0.051741,6.7091545643153525
H04,PDA+CAF+MAC,control,no,0.6523599738798644,1.920066793814934,0.008504,0.087101,10.242356538099719
H05,PDA,low kras+Src,no,0.0014065380095771962,1.0014075276480972,0.005934,0.006219,1.0480283114256825
H06,PDA+CAF,low kras+Src,no,0.3021087655825126,1.3527083468198464,0.018052,0.058973,3.266840239308664
H07,PDA+MAC,low kras+Src,no,0.18098983994677906,1.1984030033930513,0.007635,0.015744,2.062082514734774
H08,PDA+CAF+MAC,low kras+Src,no,0.21621254742264545,1.2413662001488268,0.005654,0.013092,2.3155288291475062
